country,country_group,date,cases,deaths
Taiwan,China,12/05/2003,184,20
Colombia,Colombia,12/05/2003,1,0
Finland,Finland,12/05/2003,1,0
France,France,12/05/2003,7,0
Germany,Germany,12/05/2003,9,0
India,India,12/05/2003,1,0
Indonesia,Indonesia,12/05/2003,2,0
Italy,Italy,12/05/2003,9,0
Kuwait,Kuwait,12/05/2003,1,0
Malaysia,Malaysia,12/05/2003,7,2
Mongolia,Mongolia,12/05/2003,9,0
New Zealand,New Zealand,12/05/2003,1,0
Philippines,Philippines,12/05/2003,10,2
Poland,Poland,12/05/2003,1,0
Republic of Ireland,Republic of Ireland,12/05/2003,1,0
Republic of Korea,Republic of Korea,12/05/2003,2,0
Romania,Romania,12/05/2003,1,0
Singapore,Singapore,12/05/2003,205,28
South Africa,South Africa,12/05/2003,1,1
Spain,Spain,12/05/2003,1,0
Sweden,Sweden,12/05/2003,3,0
Switzerland,Switzerland,12/05/2003,1,0
Thailand,Thailand,12/05/2003,7,2
UK,UK,12/05/2003,6,0
USA,USA,12/05/2003,64,0
Vietnam,Vietnam,12/05/2003,63,5
Australia,Australia,19/05/2003,6,0
Brazil,Brazil,19/05/2003,2,0
Canada,Canada,19/05/2003,140,23
Mainland China,China,19/05/2003,5236,289
Hong Kong,China,19/05/2003,1714,251
Macao,China,19/05/2003,1,0
Taiwan,China,19/05/2003,344,40
Colombia,Colombia,19/05/2003,1,0
Finland,Finland,19/05/2003,1,0
France,France,19/05/2003,7,0
Germany,Germany,19/05/2003,9,0
India,India,19/05/2003,3,0
Indonesia,Indonesia,19/05/2003,2,0
Italy,Italy,19/05/2003,9,0
Kuwait,Kuwait,19/05/2003,1,0
Malaysia,Malaysia,19/05/2003,7,2
Mongolia,Mongolia,19/05/2003,9,0
New Zealand,New Zealand,19/05/2003,1,0
Philippines,Philippines,19/05/2003,12,2
Republic of Ireland,Republic of Ireland,19/05/2003,1,0
Republic of Korea,Republic of Korea,19/05/2003,3,0
Romania,Romania,19/05/2003,1,0
Singapore,Singapore,19/05/2003,206,28
South Africa,South Africa,19/05/2003,1,1
Spain,Spain,19/05/2003,1,0
Sweden,Sweden,19/05/2003,3,0
Switzerland,Switzerland,19/05/2003,1,0
Thailand,Thailand,19/05/2003,8,2
UK,UK,19/05/2003,4,0
USA,USA,19/05/2003,67,0
Vietnam,Vietnam,19/05/2003,63,5
Australia,Australia,26/05/2003,6,0
Brazil,Brazil,26/05/2003,2,0
Canada,Canada,26/05/2003,148,26
Mainland China,China,26/05/2003,5316,317
Hong Kong,China,26/05/2003,1726,267
Macao,China,26/05/2003,2,0
Taiwan,China,26/05/2003,585,72
Colombia,Colombia,26/05/2003,1,0
Finland,Finland,26/05/2003,1,0
France,France,26/05/2003,7,0
Germany,Germany,26/05/2003,9,0
India,India,26/05/2003,3,0
Indonesia,Indonesia,26/05/2003,2,0
Italy,Italy,26/05/2003,9,0
Kuwait,Kuwait,26/05/2003,1,0
Malaysia,Malaysia,26/05/2003,5,2
Mongolia,Mongolia,26/05/2003,9,0
New Zealand,New Zealand,26/05/2003,1,0
Philippines,Philippines,26/05/2003,12,2
Republic of Ireland,Republic of Ireland,26/05/2003,1,0
Republic of Korea,Republic of Korea,26/05/2003,3,0
Romania,Romania,26/05/2003,1,0
Singapore,Singapore,26/05/2003,206,31
South Africa,South Africa,26/05/2003,1,1
Spain,Spain,26/05/2003,1,0
Sweden,Sweden,26/05/2003,3,0
Switzerland,Switzerland,26/05/2003,1,0
Thailand,Thailand,26/05/2003,8,2
UK,UK,26/05/2003,4,0
USA,USA,26/05/2003,65,0
Vietnam,Vietnam,26/05/2003,63,5
Australia,Australia,02/06/2003,5,0
Brazil,Brazil,02/06/2003,2,0
Canada,Canada,02/06/2003,198,30
Mainland China,China,02/06/2003,5328,334
Hong Kong,China,02/06/2003,1746,282
Macao,China,02/06/2003,1,0
Taiwan,China,02/06/2003,684,81
Colombia,Colombia,02/06/2003,1,0
Finland,Finland,02/06/2003,1,0
France,France,02/06/2003,7,0
Germany,Germany,02/06/2003,10,0
India,India,02/06/2003,3,0
Indonesia,Indonesia,02/06/2003,2,0
Italy,Italy,02/06/2003,9,0
Kuwait,Kuwait,02/06/2003,1,0
Malaysia,Malaysia,02/06/2003,5,2
Mongolia,Mongolia,02/06/2003,9,0
New Zealand,New Zealand,02/06/2003,1,0
Philippines,Philippines,02/06/2003,12,2
Republic of Ireland,Republic of Ireland,02/06/2003,1,0
Republic of Korea,Republic of Korea,02/06/2003,3,0
Romania,Romania,02/06/2003,1,0
Russian Federation,Russian Federation,02/06/2003,1,0
Singapore,Singapore,02/06/2003,206,31
South Africa,South Africa,02/06/2003,1,1
Spain,Spain,02/06/2003,1,0
Sweden,Sweden,02/06/2003,3,0
Switzerland,Switzerland,02/06/2003,1,0
Thailand,Thailand,02/06/2003,8,2
UK,UK,02/06/2003,4,0
USA,USA,02/06/2003,66,0
Vietnam,Vietnam,02/06/2003,63,5
Australia,Australia,09/06/2003,5,0
Brazil,Brazil,09/06/2003,2,0
Canada,Canada,09/06/2003,229,32
Mainland China,China,09/06/2003,5328,340
Hong Kong,China,09/06/2003,1753,288
Macao,China,09/06/2003,1,0
Taiwan,China,09/06/2003,680,81
Colombia,Colombia,09/06/2003,1,0
Finland,Finland,09/06/2003,1,0
France,France,09/06/2003,7,0
Germany,Germany,09/06/2003,10,0
India,India,09/06/2003,3,0
Indonesia,Indonesia,09/06/2003,2,0
Italy,Italy,09/06/2003,9,0
Kuwait,Kuwait,09/06/2003,1,0
Malaysia,Malaysia,09/06/2003,5,2
Mongolia,Mongolia,09/06/2003,9,0
New Zealand,New Zealand,09/06/2003,1,0
Philippines,Philippines,09/06/2003,12,2
Republic of Ireland,Republic of Ireland,09/06/2003,1,0
Republic of Korea,Republic of Korea,09/06/2003,3,0
Romania,Romania,09/06/2003,1,0
Russian Federation,Russian Federation,09/06/2003,1,0
Singapore,Singapore,09/06/2003,206,31
South Africa,South Africa,09/06/2003,1,1
Spain,Spain,09/06/2003,1,0
Sweden,Sweden,09/06/2003,3,0
Switzerland,Switzerland,09/06/2003,1,0
Thailand,Thailand,09/06/2003,9,2
UK,UK,09/06/2003,4,0
USA,USA,09/06/2003,68,0
Vietnam,Vietnam,09/06/2003,63,5
Australia,Australia,16/06/2003,5,0
Brazil,Brazil,16/06/2003,3,0
Canada,Canada,16/06/2003,243,32
Mainland China,China,16/06/2003,5326,346
Hong Kong,China,16/06/2003,1755,295
Macao,China,16/06/2003,1,0
Taiwan,China,16/06/2003,698,83
Colombia,Colombia,16/06/2003,1,0
Finland,Finland,16/06/2003,1,0
France,France,16/06/2003,7,0
Germany,Germany,16/06/2003,10,0
India,India,16/06/2003,3,0
Indonesia,Indonesia,16/06/2003,2,0
Italy,Italy,16/06/2003,9,0
Kuwait,Kuwait,16/06/2003,1,0
Malaysia,Malaysia,16/06/2003,5,2
Mongolia,Mongolia,16/06/2003,9,0
New Zealand,New Zealand,16/06/2003,1,0
Philippines,Philippines,16/06/2003,14,2
Republic of Ireland,Republic of Ireland,16/06/2003,1,0
Republic of Korea,Republic of Korea,16/06/2003,3,0
Romania,Romania,16/06/2003,1,0
Russian Federation,Russian Federation,16/06/2003,1,0
Singapore,Singapore,16/06/2003,206,31
South Africa,South Africa,16/06/2003,1,1
Spain,Spain,16/06/2003,1,0
Sweden,Sweden,16/06/2003,3,0
Switzerland,Switzerland,16/06/2003,1,0
Thailand,Thailand,16/06/2003,9,2
UK,UK,16/06/2003,4,0
USA,USA,16/06/2003,72,0
Vietnam,Vietnam,16/06/2003,63,5
Australia,Australia,31/07/2003,6,0
Canada,Canada,31/07/2003,251,43
Mainland China,China,31/07/2003,5327,349
Hong Kong,China,31/07/2003,1755,299
Macao,China,31/07/2003,1,0
Taiwan,China,31/07/2003,346,37
France,France,31/07/2003,7,1
Germany,Germany,31/07/2003,9,0
India,India,31/07/2003,3,0
Indonesia,Indonesia,31/07/2003,2,0
Italy,Italy,31/07/2003,4,0
Kuwait,Kuwait,31/07/2003,1,0
Malaysia,Malaysia,31/07/2003,5,2
Mongolia,Mongolia,31/07/2003,9,0
New Zealand,New Zealand,31/07/2003,1,0
Philippines,Philippines,31/07/2003,14,2
Republic of Ireland,Republic of Ireland,31/07/2003,1,0
Republic of Korea,Republic of Korea,31/07/2003,3,0
Romania,Romania,31/07/2003,1,0
Russian Federation,Russian Federation,31/07/2003,1,0
Singapore,Singapore,31/07/2003,238,33
South Africa,South Africa,31/07/2003,1,1
Spain,Spain,31/07/2003,1,0
Sweden,Sweden,31/07/2003,5,0
Switzerland,Switzerland,31/07/2003,1,0
Thailand,Thailand,31/07/2003,9,2
UK,UK,31/07/2003,4,0
USA,USA,31/07/2003,27,0
Vietnam,Vietnam,31/07/2003,63,5
