"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"6402","New Zealand",2020-04-25,95,1470,9,18,0,1142,24,310,30.5,0.2,6.4,0.4,0,34,8
"6431","Nicaragua",2020-04-25,95,12,1,3,0,7,0,2,0.2,0,0,0,0,0,0
"6483","Niger",2020-04-25,95,684,3,27,3,325,36,332,2.8,0,1.4,0.1,0,22,20
"6515","Nigeria",2020-04-25,95,1182,87,35,3,222,14,925,0.6,0,0.4,0,0,27,14
"6585","North Macedonia",2020-04-25,95,1367,41,59,2,374,37,934,65.6,2,44.8,2.8,0.1,34,24
"6608","Norway",2020-04-25,95,7499,36,201,2,32,0,7266,138.3,0.7,134,3.7,0,50,33
"6667","Oman",2020-04-25,95,1905,115,10,0,329,4,1566,37.3,2.3,30.7,0.2,0,30,1
"6751","Pakistan",2020-04-25,95,12723,783,269,16,2866,111,9588,5.8,0.4,4.3,0.1,0,40,29
"6824","Panama",2020-04-25,95,5538,200,159,5,338,19,5041,128.3,4.6,116.8,3.7,0.1,37,28
"6852","Papua New Guinea",2020-04-25,95,8,0,0,0,0,0,8,0.1,0,0.1,0,0,0,0
"6910","Paraguay",2020-04-25,95,228,5,9,0,85,7,134,3.2,0.1,1.9,0.1,0,20,0
"6949","Peru",2020-04-25,95,25331,3683,700,66,7797,301,16834,76.8,11.2,51.1,2.1,0.2,39,29
"7028","Philippines",2020-04-25,95,7294,102,494,17,792,30,6008,6.7,0.1,5.5,0.5,0,42,41
"7060","Poland",2020-04-25,95,11273,381,524,30,2126,182,8623,29.8,1,22.8,1.4,0.1,42,32
"7137","Portugal",2020-04-25,95,23392,595,880,26,1277,49,21235,229.4,5.8,208.2,8.6,0.3,43,35
"7188","Qatar",2020-04-25,95,9358,833,10,0,929,120,8419,324.8,28.9,292.2,0.3,0,45,3
"7266","Republic of Korea",2020-04-25,95,10728,10,242,2,8717,82,1769,20.9,0,3.5,0.5,0,65,60
"7341","Republic of the Congo",2020-04-25,95,200,0,6,0,19,0,175,3.6,0,3.2,0.1,0,10,0
"7380","Romania",2020-04-25,95,10635,218,601,34,2890,73,7144,55.3,1.1,37.1,3.1,0.2,42,32
"7486","Russia",2020-04-25,95,74588,5966,681,66,6250,682,67657,51.1,4.1,46.4,0.5,0,39,25
"7538","Rwanda",2020-04-25,95,183,7,0,0,88,1,95,1.4,0.1,0.7,0,0,21,0
"7579","Saint Kitts and Nevis",2020-04-25,95,15,0,0,0,2,0,13,28.3,0,24.5,0,0,0,0
"7619","Saint Lucia",2020-04-25,95,15,0,0,0,15,0,0,8.2,0,0,0,0,0,0
"7657","Saint Vincent and the Grenadines",2020-04-25,95,14,0,0,0,5,0,9,12.6,0,8.1,0,0,0,0
"7704","San Marino",2020-04-25,95,513,0,40,0,64,0,409,1508.8,0,1202.9,117.6,0,41,38
"7745","Sao Tome and Principe",2020-04-25,95,4,0,0,0,0,0,4,1.8,0,1.8,0,0,0,0
"7761","Saudi Arabia",2020-04-25,95,16299,1197,136,9,2215,166,13948,46.8,3.4,40.1,0.4,0,42,25
"7846","Senegal",2020-04-25,95,614,69,7,0,276,14,331,3.7,0.4,2,0,0,30,0
"7902","Serbia",2020-04-25,95,6630,0,125,0,870,0,5635,75.9,0,64.5,1.4,0,37,28
"7947","Seychelles",2020-04-25,95,11,0,0,0,6,0,5,11.2,0,5.1,0,0,0,0
"7975","Sierra Leone",2020-04-25,95,82,0,2,0,10,0,70,1,0,0.9,0,0,0,0
"8007","Singapore",2020-04-25,95,12693,618,12,0,1002,46,11679,217,10.6,199.6,0.2,0,56,11
"8088","Slovakia",2020-04-25,95,1373,13,17,0,386,31,970,25.1,0.2,17.8,0.3,0,38,7
"8142","Slovenia",2020-04-25,95,1388,15,81,1,219,8,1088,66.8,0.7,52.3,3.9,0,43,27
"8209","Somalia",2020-04-25,95,390,62,18,2,8,0,364,2.5,0.4,2.3,0.1,0,8,2
"8231","South Africa",2020-04-25,95,4361,141,86,7,1473,0,2802,7.4,0.2,4.7,0.1,0,38,20
"8273","South Sudan",2020-04-25,95,5,0,0,0,0,0,5,0,0,0,0,0,0,0
"8289","Spain",2020-04-25,95,223759,3995,22902,378,95708,3353,105149,478.6,8.5,224.9,49,0.8,54,49
"8445","Sri Lanka",2020-04-25,95,460,40,7,0,118,9,335,2.1,0.2,1.6,0,0,32,0
"8494","Sudan",2020-04-25,95,213,39,17,1,19,5,177,0.5,0.1,0.4,0,0,5,7
"8537","Suriname",2020-04-25,95,10,0,1,0,7,0,2,1.7,0,0.3,0.2,0,0,0
"8576","Sweden",2020-04-25,95,18177,610,2192,40,1005,0,14980,180,6,148.3,21.7,0.4,50,38
"8658","Switzerland",2020-04-25,95,28894,217,1599,10,21300,300,5995,333.8,2.5,69.3,18.5,0.1,51,43
"8708","Syria",2020-04-25,95,42,0,3,0,11,5,28,0.2,0,0.2,0,0,0,0
"8800","Taiwan",2020-04-25,95,429,1,6,0,275,11,148,1.8,0,0.6,0,0,38,0
"8838","Tanzania, United Republic of",2020-04-25,95,299,0,10,0,48,0,241,0.5,0,0.4,0,0,8,5
"8875","Thailand",2020-04-25,95,2907,0,51,0,2547,0,309,4.2,0,0.4,0.1,0,41,25
"8965","The Bahamas",2020-04-25,95,78,5,11,0,15,0,52,19.8,1.3,13.2,2.8,0,0,2
"9016","The Gambia",2020-04-25,95,10,0,1,0,8,6,1,0.4,0,0,0,0,0,0
"9053","Timor-Leste",2020-04-25,95,24,0,0,0,2,0,22,1.8,0,1.7,0,0,0,0
"9124","Togo",2020-04-25,95,96,6,6,0,62,3,28,1.2,0.1,0.3,0.1,0,0,0
"9147","Trinidad and Tobago",2020-04-25,95,115,0,8,0,53,5,54,8.2,0,3.9,0.6,0,21,0
"9182","Tunisia",2020-04-25,95,939,17,38,0,207,13,694,7.9,0.1,5.9,0.3,0,32,25
